master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
smp2_025_024,SMP2,025/024,トレーナーズ,サポート,ヨシダ警部補,SR,C,False
sm2l_055_050,SM2L,055/050,トレーナーズ,サポート,マオ,SR,A,False
sm5p_055_050,SM5p,055/050,トレーナーズ,サポート,ウルトラ調査隊,SR,B,False
sm7b_055_050,SM7b,055/050,トレーナーズ,サポート,マツバ,SR,B,False
sm2k_055_050,SM2K,055/050,トレーナーズ,サポート,ハラ,SR,A,False
sm4a_055_050,SM4A,055/050,トレーナーズ,サポート,ルザミーネ,SR,A,False
sm4s_055_050,SM4S,055/050,トレーナーズ,サポート,グラジオ,SR,A,False
sm2p_056_049,SM2p,056/049,トレーナーズ,サポート,アセロラ,SR,A,False
sm5p_056_050,SM5p,056/050,トレーナーズ,サポート,マキシ,SR,B,False
sm7b_056_050,SM7b,056/050,トレーナーズ,サポート,マツリカ,SR,B,False
sm3n_056_051,SM3N,056/051,トレーナーズ,サポート,グズマ,SR,A,False
sm3h_056_051,SM3H,056/051,トレーナーズ,サポート,カキ,SR,A,False
sm2p_057_049,SM2p,057/049,トレーナーズ,サポート,マーマネ,SR,A,False
sm3h_057_051,SM3H,057/051,トレーナーズ,サポート,プルメリ,SR,A,False
sm3n_057_051,SM3N,057/051,トレーナーズ,サポート,ビッケ,SR,A,False
sm8a_057_052,SM8a,057/052,トレーナーズ,サポート,クチナシ,SR,B,False
sm8a_058_052,SM8a,058/052,トレーナーズ,サポート,ミカン,SR,B,False
sm6a_058_053,SM6a,058/053,トレーナーズ,サポート,カツラの一発勝負,SR,B,False
xy11-bb_058_054,XY11-Bb,058/054,トレーナーズ,サポート,ポケモンレンジャー,SR,A,False
sm6a_059_053,SM6a,059/053,トレーナーズ,サポート,ヒガナ,SR,B,False
sm9b_061_054,SM9b,061/054,トレーナーズ,サポート,ブルーの探索,SR,C,False
sm10a_061_054,SM10a,061/054,トレーナーズ,サポート,ギーマ,SR,C,False
sm10b_061_054,SM10b,061/054,トレーナーズ,サポート,かいじゅうマニア,SR,C,False
sm10b_062_054,SM10b,062/054,トレーナーズ,サポート,ムサシとコジロウ,SR,C,False
sm9b_062_054,SM9b,062/054,トレーナーズ,サポート,マーレイン,SR,C,False
sm10a_062_054,SM10a,062/054,トレーナーズ,サポート,コーチトレーナー,SR,C,False
sm9a_062_055,SM9a,062/055,トレーナーズ,サポート,アンズ,SR,C,False
sm9a_063_055,SM9a,063/055,トレーナーズ,サポート,キョウの罠,SR,C,False
xy8-br_064_059,XY8-Br,064/059,トレーナーズ,サポート,サカキの計画,SR,A,False
xy8-bb_064_059,XY8-Bb,064/059,トレーナーズ,サポート,アズサ,SR,A,False
sm1m_065_060,SM1M,065/060,トレーナーズ,サポート,スカル団のしたっぱ,SR,A,False
sm1s_065_060,SM1S,065/060,トレーナーズ,サポート,イリマ,SR,A,False
sm7a_065_060,SM7a,065/060,トレーナーズ,サポート,カヒリ,SR,B,False
sm11b_066_049,SM11b,066/049,トレーナーズ,サポート,Nの覚悟,SR,C,False
sm7a_066_060,SM7a,066/060,トレーナーズ,サポート,ジャッジマン,SR,B,False
sm1s_066_060,SM1S,066/060,トレーナーズ,サポート,ククイ博士,SR,A,False
sm1m_066_060,SM1M,066/060,トレーナーズ,サポート,リーリエ,SR,A,False
sm11b_067_049,SM11b,067/049,トレーナーズ,サポート,メイ,SR,C,False
sm11b_068_049,SM11b,068/049,トレーナーズ,サポート,リーリエの全力,SR,C,False
sm5m_070_066,SM5M,070/066,トレーナーズ,サポート,シロナ,SR,B,False
sm5s_070_066,SM5S,070/066,トレーナーズ,サポート,ナタネ,SR,B,False
sm5s_071_066,SM5S,071/066,トレーナーズ,サポート,ポケモンだいすきクラブ,SR,B,False
sm5m_071_066,SM5M,071/066,トレーナーズ,サポート,デンジ,SR,B,False
sm11a_072_064,SM11a,072/064,トレーナーズ,サポート,オーキド博士のセッティング,SR,C,False
sm5s_072_066,SM5S,072/066,トレーナーズ,サポート,マーズ,SR,B,False
